playerId,name,age,status,origin_team,origin_comp,origin_median,predicted_proba,predicted_plays,actual_plays
1353,Nils Körber,29.0,BENCH,SpVgg Greuther Fürth II,regionalliga_bayern,0.28719256,0.91551685,1,0
126501,Paul Argney,19.0,BENCH,Royal Francs Borains,challenger_pro_league,0.34851325,0.071701124,0,0
178234,Pape Sy,28.0,BENCH,RFC Seraing,challenger_pro_league,0.34851325,0.9195726,1,0
34932,Benjamin Siegrist,34.0,BENCH,FC Rapid Bukarest,superliga_romania,0.456571,0.2758278,0,0
115577,Simon Simoni,21.0,BENCH,Eintracht Frankfurt II,regionalliga_suedwest,0.405667995,0.56295943,1,0
45009,Norman Quindt,29.0,BENCH,Kickers Emden,regionalliga_nord,0.26403716,0.31007135,0,0
53549,Ennio van der Gouw,26.0,BENCH,SV Zulte Waregem,challenger_pro_league,0.34851325,0.18760018,0,0
166234,Marko Gudžulić,23.0,BENCH,FK Vozdovac,super_liga_srbije,0.34917809,0.39721385,0,0
21255,Rody de Boer,28.0,BENCH,Roda JC Kerkrade,keuken_kampioen_divisie,0.433012,0.398376,0,0
34475,Matus Macik,32.0,BENCH,SK Sigma Olmütz,chance_liga,0.345279435,0.2155135,0,0
116674,Otto Hindrich,23.0,BENCH,CFR Cluj,superliga_romania,0.456571,0.041652653,0,0
23385,Alexander Brunst,30.0,BENCH,Vejle Boldklub,superligaen,0.6607162449999999,0.11618501,0,0
3813,Arnaud Bodart,28.0,BENCH,FC Metz,ligue2,0.61397649,0.21976276,0,0
51418,Lionel Mpasi-Nzau,31.0,BENCH,Rodez AF,ligue2,0.61397649,0.0525663,0,0
760,Karl-Johan Johnsson,36.0,BENCH,FC Girondins Bordeaux,ligue2,0.61397649,0.020476932,0,0
29423,Bingourou Kamara,29.0,BENCH,Pau FC,ligue2,0.61397649,0.009931508,0,0
31219,Marcel Lotka,24.0,BENCH,Borussia Dortmund II,bundesliga_3,0.557671055,0.070225894,0,0
145173,Luis Idjakovic,24.0,BENCH,FC-Astoria Walldorf,regionalliga_suedwest,0.405667995,0.14149989,0,0
46563,Franz Stolz,25.0,BENCH,FC Rapid Bukarest,superliga_romania,0.456571,0.0073927194,0,0
66027,Klemen Mihelak,24.0,BENCH,NS Mura,prva_liga,0.383098135,0.18099032,0,0
104150,Malte Brüning,21.0,BENCH,Hamburger SV II,regionalliga_nord,0.26403716,0.23387998,0,0
16387,Andreas Linde,32.0,BENCH,Molde FK,eliteserien,0.5777367099999999,0.46759868,0,0
116815,Denis Pintol,26.0,BENCH,ND Primorje,prva_liga,0.383098135,0.011449308,0,0
135796,Armin Olayo,23.0,BENCH,1. FC Nürnberg II,regionalliga_bayern,0.28719256,0.578915,1,0
1208,Andreas Luthe,39.0,BENCH,1. FC Kaiserslautern,bundesliga_2,0.710514535,0.18208322,0,0
51472,Guillaume Dietsch,24.0,BENCH,RFC Seraing,belgian_pro_league,0.67107149,0.0055752518,0,0
49045,Valdemar Birksø,24.0,BENCH,Fredrikstad FK,eliteserien,0.5777367099999999,0.41346592,0,0
32331,Leopold Wahlstedt,26.0,BENCH,Odds BK,eliteserien,0.5777367099999999,0.5972074,1,0
7498,Jeffrey de Lange,27.0,BENCH,Go Ahead Eagles Deventer,eredivisie,0.6917069149999999,0.2538338,0,0
74044,Etienne Green,25.0,BENCH,AS Saint-Étienne,ligue2,0.61397649,0.19771458,0,0
9620,Robin Himmelmann,37.0,BENCH,KAS Eupen,belgian_pro_league,0.67107149,0.03786241,0,0
107184,Mike Penders,20.0,PLAYS,Jong Genk,challenger_pro_league,0.34851325,0.831567,1,1
49611,Diant Ramaj,24.0,PLAYS,Ajax Amsterdam II,keuken_kampioen_divisie,0.433012,0.46370322,0,1
1185,Moritz Nicolas,28.0,PLAYS,Roda JC Kerkrade,keuken_kampioen_divisie,0.433012,0.7783741,1,1
66170,Răzvan Sava,23.0,PLAYS,CFR Cluj,superliga_romania,0.456571,0.011005181,0,1
106083,Timo Schlieck,20.0,PLAYS,RSCA Futures,challenger_pro_league,0.34851325,0.03357502,0,1
