rank,kpi_name,label,consensus_weight,category,direction,p_value,effect_size,xgb_importance,rf_importance,perm_importance,mutual_info,definition,parent_kpi,context
1,origin_median,origin_median,0.011651457817481232,context,lower,4.672762730063345e-06,0.5792253192617762,0.0044543403,0.0181557898581908,0.0012759170653907858,0.05615587772734876,Context feature (not a KPI),,
2,DEF_PXT_OTHER,Other (Defensive Threat),0.009705195525817445,Base KPI,higher,5.193600438458455e-05,0.262395542065275,0.003549558,0.01714404482768359,0.0025518341307815386,0.029743956379611358,The change in the threat of conceding by other actions. This KPI consists of 'PXT_FOUL' and 'PXT_NO_VIDEO' and is attributed to all players of the opponent team.,,
3,SUCCESSFUL_PASSES_BY_FOOT_LEFT,SUCCESSFUL_PASSES_BY_FOOT_LEFT,0.007839190139933384,Base KPI,lower,0.29959179369577416,0.09190225825657129,0.00975299,0.016029736408605107,0.0,0.04638027456919458,,,
4,UNSUCCESSFUL_PASSES_BY_FOOT_LEFT,UNSUCCESSFUL_PASSES_BY_FOOT_LEFT,0.007392116934296954,Base KPI,lower,0.8368503638913481,0.21240449472471068,0.004340348,0.016900714417051065,0.0,0.04569501177808322,,,
5,SUCCESSFUL_PASSES_BY_ACTION_DIAGONAL_PASS,SUCCESSFUL_PASSES_BY_ACTION_DIAGONAL_PASS,0.006716988711603994,Contextual (SUCCESSFUL_PASSES),higher,4.146587535498616e-05,0.5763855828621892,0.0016212794,0.010226601876748075,0.0,0.029630287979924175,,SUCCESSFUL_PASSES,Diagonal Pass
6,BYPASSED_OPPONENTS_NUMBER,Bypassed Opponents Number,0.005852419211088713,Base KPI,higher,0.04372009721518746,0.29717014677221243,0.012655729,0.0028929630334475777,0.0,0.018762280007877274,"Number of actions with which opponents could be bypassed (dribble, pass, cross, set piece).",,
7,BYPASSED_DEFENDERS_AT_PHASE_SECOND_BALL,BYPASSED_DEFENDERS_AT_PHASE_SECOND_BALL,0.0058469894008731284,Contextual (BYPASSED_DEFENDERS),lower,0.020143055417419956,0.27407491954109503,0.0043955254,0.007186063111369613,0.0,0.041082824726426326,,BYPASSED_DEFENDERS,Second Ball Phase
8,SUCCESSFUL_PASSES_BY_FOOT_RIGHT,SUCCESSFUL_PASSES_BY_FOOT_RIGHT,0.005732673654000995,Base KPI,higher,0.22383474219136923,0.18999279469981176,0.0044009336,0.010817431073756479,0.0,0.035875458802465676,,,
9,UNSUCCESSFUL_PASSES_AT_PHASE_SET_PIECE,UNSUCCESSFUL_PASSES_AT_PHASE_SET_PIECE,0.005222196947197581,Contextual (UNSUCCESSFUL_PASSES),lower,0.00019883880092812656,0.39962419123368614,0.002591842,0.008479581365477546,0.0,0.0207092227834631,,UNSUCCESSFUL_PASSES,Set Piece Phase
10,NEUTRAL_PASSES_BY_FOOT_RIGHT,NEUTRAL_PASSES_BY_FOOT_RIGHT,0.0051218152515929245,Base KPI,higher,0.5553073843154874,0.013292269718422097,0.00625255,0.009919265236835739,0.0,0.03703376654584334,,,
11,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_DIAGONAL_PASS,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_DIAGONAL_PASS,0.00479543613891828,Contextual (BYPASSED_OPPONENTS_NUMBER),higher,0.00391390393046466,0.4081332889852849,0.0039330493,0.005223513457288162,0.0,0.01666258711058477,,BYPASSED_OPPONENTS_NUMBER,Diagonal Pass
12,UNSUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,UNSUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,0.00470875699595686,Contextual (UNSUCCESSFUL_PASSES),higher,0.005256178429695158,0.28796117053457776,0.0025151933,0.003076307506559227,0.0,0.03910156221762073,,UNSUCCESSFUL_PASSES,Low Pass
