feature,feature_name,importance
mean_SUCCESSFUL_PASSES_BY_FOOT_LEFT,SUCCESSFUL_PASSES_BY_FOOT_LEFT,0.04876356192454217
mean_SUCCESSFUL_PASSES_BY_FOOT_RIGHT,SUCCESSFUL_PASSES_BY_FOOT_RIGHT,0.043315700303415014
mean_UNSUCCESSFUL_PASSES_BY_FOOT_RIGHT,UNSUCCESSFUL_PASSES_BY_FOOT_RIGHT,0.041977863302531795
mean_UNSUCCESSFUL_PASSES_BY_FOOT_LEFT,UNSUCCESSFUL_PASSES_BY_FOOT_LEFT,0.03943225729758906
mean_PLAYDURATION,PLAYDURATION,0.030612877208736684
mean_NEUTRAL_PASSES_BY_FOOT_RIGHT,NEUTRAL_PASSES_BY_FOOT_RIGHT,0.024104430828066882
mean_BYPASSED_DEFENDERS_AT_PHASE_SECOND_BALL,BYPASSED_DEFENDERS_AT_PHASE_SECOND_BALL,0.023266941805454633
mean_DISTANCE_TO_GOAL_COVERED_DRIBBLE,DISTANCE_TO_GOAL_COVERED_DRIBBLE,0.021661452116142222
mean_NEUTRAL_PASSES_BY_FOOT_LEFT,NEUTRAL_PASSES_BY_FOOT_LEFT,0.019790190567570917
mean_BYPASSED_DEFENDERS_BY_ACTION_SAVE,BYPASSED_DEFENDERS_BY_ACTION_SAVE,0.017253107277288602
mean_CONCEDED_POSTSHOT_XG,CONCEDED_POSTSHOT_XG,0.016484900679879406
mean_SUCCESSFUL_PASSES_BY_ACTION_DIAGONAL_PASS,SUCCESSFUL_PASSES_BY_ACTION_DIAGONAL_PASS,0.01648378701898406
mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_OWN_BOX,0.01632944433560993
mean_BYPASSED_DEFENDERS_TO_PITCH_POSITION_FIRST_THIRD,BYPASSED_DEFENDERS_TO_PITCH_POSITION_FIRST_THIRD,0.016087011052946174
mean_SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,0.016081445115348782
mean_BYPASSED_OPPONENTS_NUMBER_AT_PHASE_ATTACKING_TRANSITION,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_ATTACKING_TRANSITION,0.01582623703277265
mean_UNSUCCESSFUL_PASSES_AT_PHASE_SET_PIECE,UNSUCCESSFUL_PASSES_AT_PHASE_SET_PIECE,0.015550982878431633
mean_BALL_LOSS_REMOVED_TEAMMATES_AT_PHASE_SET_PIECE,BALL_LOSS_REMOVED_TEAMMATES_AT_PHASE_SET_PIECE,0.015486354240296395
mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_LANE_CENTER,0.014833303968708607
mean_OPP_PXT_PASS,OPP_PXT_PASS,0.014495921533098791
mean_UNSUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,UNSUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,0.014457033567120687
mean_BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,0.014262028092463594
mean_SUCCESSFUL_PASSES_FROM_PITCH_POSITION_FIRST_THIRD,SUCCESSFUL_PASSES_FROM_PITCH_POSITION_FIRST_THIRD,0.013350971314812818
mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,0.013225566839684077
mean_BYPASSED_OPPONENTS_NUMBER_AT_PHASE_SET_PIECE,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_SET_PIECE,0.013139417534073992
mean_BALL_WIN_NUMBER_BY_ACTION_CATCH,BALL_WIN_NUMBER_BY_ACTION_CATCH,0.01303779679481813
mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_GOAL_KICK,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_GOAL_KICK,0.012685646081563657
mean_SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,0.01222542668258436
mean_BYPASSED_OPPONENTS_NUMBER_FROM_LANE_LEFT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_LEFT_HALF_SPACE,0.012098382497386229
mean_SUCCESSFUL_PASSES_TO_PACKING_ZONE_WL,SUCCESSFUL_PASSES_TO_PACKING_ZONE_WL,0.012044668823429756
mean_BYPASSED_OPPONENTS_NUMBER_FROM_LANE_RIGHT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_RIGHT_HALF_SPACE,0.012011174314170585
mean_BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CM,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_CM,0.012008527182783921
mean_BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_CM,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_CM,0.0119380644833313
mean_BALL_LOSS_REMOVED_TEAMMATES_TO_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_TO_PITCH_POSITION_OWN_BOX,0.011711311925481058
mean_SECOND_BALL_WIN,SECOND_BALL_WIN,0.011650631336988782
mean_UNSUCCESSFUL_PASSES_BY_ACTION_GOAL_KICK,UNSUCCESSFUL_PASSES_BY_ACTION_GOAL_KICK,0.011475836394688705
mean_SUCCESSFUL_PASSES,SUCCESSFUL_PASSES,0.01134534278998644
mean_BYPASSED_DEFENDERS_TO_LANE_RIGHT_HALF_SPACE,BYPASSED_DEFENDERS_TO_LANE_RIGHT_HALF_SPACE,0.01120193242573582
mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OWN_BOX,0.01102239869213692
mean_BYPASSED_OPPONENTS_AT_PHASE_ATTACKING_TRANSITION,BYPASSED_OPPONENTS_AT_PHASE_ATTACKING_TRANSITION,0.010968841141585951
mean_BYPASSED_OPPONENTS_NUMBER_FROM_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_NUMBER_FROM_PITCH_POSITION_FIRST_THIRD,0.010782460695417814
mean_SUCCESSFUL_PASSES_TO_LANE_CENTER,SUCCESSFUL_PASSES_TO_LANE_CENTER,0.010724210112539009
mean_BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_WR,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_WR,0.010507436247622171
mean_BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_IB,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_IB,0.010468100804866851
mean_BYPASSED_OPPONENTS_TO_PACKING_ZONE_DM,BYPASSED_OPPONENTS_TO_PACKING_ZONE_DM,0.010465790037164144
mean_NEUTRAL_PASSES_FROM_LANE_CENTER,NEUTRAL_PASSES_FROM_LANE_CENTER,0.010424649801377332
mean_DEFENSIVE_TOUCHES_IN_LANE_RIGHT_HALF_SPACE,DEFENSIVE_TOUCHES_IN_LANE_RIGHT_HALF_SPACE,0.01019878955849377
mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_WING,0.010006898299735301
mean_OFFENSIVE_TOUCHES_IN_PITCH_POSITION_FIRST_THIRD,OFFENSIVE_TOUCHES_IN_PITCH_POSITION_FIRST_THIRD,0.009775949766780118
mean_BYPASSED_OPPONENTS_NUMBER_AT_PHASE_IN_POSSESSION,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_IN_POSSESSION,0.009574467537304674
mean_SUCCESSFUL_PASSES_FROM_PITCH_POSITION_OWN_BOX,SUCCESSFUL_PASSES_FROM_PITCH_POSITION_OWN_BOX,0.009544585849776244
mean_BALL_WIN_REMOVED_OPPONENTS_IN_LANE_RIGHT_HALF_SPACE,BALL_WIN_REMOVED_OPPONENTS_IN_LANE_RIGHT_HALF_SPACE,0.00931673734598836
mean_BYPASSED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_FIRST_THIRD,0.009118680904930154
mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_HALF_SPACE,BYPASSED_OPPONENTS_NUMBER_TO_LANE_LEFT_HALF_SPACE,0.009048621201475825
mean_SUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,SUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,0.008867656533929664
mean_OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,OFFENSIVE_TOUCHES_AT_PHASE_SECOND_BALL,0.00884157974237501
mean_BYPASSED_OPPONENTS_TO_PITCH_POSITION_FIRST_THIRD,BYPASSED_OPPONENTS_TO_PITCH_POSITION_FIRST_THIRD,0.00851030162477126
mean_BYPASSED_OPPONENTS_NUMBER_BY_ACTION_DIAGONAL_PASS,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_DIAGONAL_PASS,0.008453531118771385
mean_SUCCESSFUL_PASSES_TO_PACKING_ZONE_DM,SUCCESSFUL_PASSES_TO_PACKING_ZONE_DM,0.008295580579678526
mean_PXT_PASS,PXT_PASS,0.008206390875968373
mean_BYPASSED_OPPONENTS_TO_LANE_RIGHT_WING,BYPASSED_OPPONENTS_TO_LANE_RIGHT_WING,0.008167129025614497
mean_BYPASSED_OPPONENTS_BY_ACTION_LOW_PASS,BYPASSED_OPPONENTS_BY_ACTION_LOW_PASS,0.007802439668482071
mean_BYPASSED_OPPONENTS_NUMBER,BYPASSED_OPPONENTS_NUMBER,0.007779065525985804
mean_BYPASSED_OPPONENTS_NUMBER_FROM_LANE_CENTER,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_CENTER,0.007611586373628645
mean_BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_IBWR,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_IBWR,0.007496035143112114
mean_SUCCESSFUL_PASSES_TO_LANE_LEFT_HALF_SPACE,SUCCESSFUL_PASSES_TO_LANE_LEFT_HALF_SPACE,0.007488136465004489
mean_BYPASSED_OPPONENTS_NUMBER_TO_LANE_CENTER,BYPASSED_OPPONENTS_NUMBER_TO_LANE_CENTER,0.007280525813646051
mean_BYPASSED_OPPONENTS_AT_PHASE_IN_POSSESSION,BYPASSED_OPPONENTS_AT_PHASE_IN_POSSESSION,0.007170816097613506
mean_BYPASSED_OPPONENTS_BY_ACTION_DIAGONAL_PASS,BYPASSED_OPPONENTS_BY_ACTION_DIAGONAL_PASS,0.006995343733288514
mean_SUCCESSFUL_PASSES_TO_LANE_LEFT_WING,SUCCESSFUL_PASSES_TO_LANE_LEFT_WING,0.006936808988410859
mean_BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_CHIPPED_PASS,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_BY_ACTION_CHIPPED_PASS,0.005984780690445305
mean_BALL_WIN_NUMBER_BY_ACTION_HEADER,BALL_WIN_NUMBER_BY_ACTION_HEADER,0.0043928730374395535
mean_DEFENSIVE_TOUCHES_BY_ACTION_HEADER,DEFENSIVE_TOUCHES_BY_ACTION_HEADER,0.004216210037000591
mean_BYPASSED_OPPONENTS_RECEIVING_FROM_LANE_RIGHT_WING,BYPASSED_OPPONENTS_RECEIVING_FROM_LANE_RIGHT_WING,0.0035126576361671565
mean_BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_SECOND_BALL,BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_SECOND_BALL,0.0023344037229536666
