rank,feature,feature_name,consensus_weight,direction,p_value,p_fdr,significant,effect_size,boruta_fraction,boruta_confirmed,stability_pct,xgb_importance
1,mean_SUCCESSFUL_PASSES_BY_FOOT_RIGHT,SUCCESSFUL_PASSES_BY_FOOT_RIGHT,0.011098148509691185,higher,0.08192282920579172,0.31805333691660315,False,0.24452276583121574,0.82,True,66.0,0.018442787
2,mean_SUCCESSFUL_PASSES_BY_FOOT_LEFT,SUCCESSFUL_PASSES_BY_FOOT_LEFT,0.00938392315684114,lower,0.19970700460350221,0.5439626047459574,False,-0.0864846381514123,1.0,True,78.0,0.009085527
3,mean_UNSUCCESSFUL_PASSES_BY_FOOT_LEFT,UNSUCCESSFUL_PASSES_BY_FOOT_LEFT,0.007841982102096464,lower,0.45638817057667624,0.7467019027777428,False,-0.1832857744305964,0.74,True,64.0,0.005585965
4,mean_BYPASSED_DEFENDERS_AT_PHASE_SECOND_BALL,BYPASSED_DEFENDERS_AT_PHASE_SECOND_BALL,0.007519153384302834,lower,0.027676546481139517,0.19084424588487248,False,-0.2595453498933537,0.52,True,54.0,0.0075333887
5,mean_UNSUCCESSFUL_PASSES_BY_FOOT_RIGHT,UNSUCCESSFUL_PASSES_BY_FOOT_RIGHT,0.006500794591800247,higher,0.8179874801483179,0.9274816710242855,False,0.058897708953135536,0.82,True,54.0,0.0039982656
6,mean_BYPASSED_OPPONENTS_NUMBER_AT_PHASE_ATTACKING_TRANSITION,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_ATTACKING_TRANSITION,0.006339811489738732,higher,0.006018996950862599,0.10115079752512064,False,0.41814428346215393,0.3,False,36.0,0.0038828212
7,mean_SUCCESSFUL_PASSES_BY_ACTION_DIAGONAL_PASS,SUCCESSFUL_PASSES_BY_ACTION_DIAGONAL_PASS,0.006121482317986639,higher,8.44555347156515e-05,0.019509228519315497,True,0.4980231423257291,0.18,False,34.0,0.0025091344
8,mean_PLAYDURATION,PLAYDURATION,0.005932039642585679,lower,2.087578525727956e-05,0.009644612788863156,True,-0.11274186120140589,0.82,True,40.0,0.0023655647
9,mean_SUCCESSFUL_PASSES,SUCCESSFUL_PASSES,0.005809181165801927,higher,0.0022767533999590774,0.07592156851208674,False,0.381579054320986,0.2,False,36.0,0.004285313
10,mean_BALL_WIN_REMOVED_OPPONENTS_IN_LANE_RIGHT_HALF_SPACE,BALL_WIN_REMOVED_OPPONENTS_IN_LANE_RIGHT_HALF_SPACE,0.005646820380662313,lower,0.015556192063023961,0.15526232557590108,False,-0.26059401351395206,0.06,False,52.0,0.0066526495
11,mean_SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,0.0055499099370215224,higher,0.001581520230809713,0.06744273818792866,False,0.5055118384958538,0.1,False,26.0,0.0026112744
12,mean_DISTANCE_TO_GOAL_COVERED_DRIBBLE,DISTANCE_TO_GOAL_COVERED_DRIBBLE,0.005545896796575862,higher,0.0005810127968448567,0.06744273818792866,False,0.4119397157717133,0.22,False,32.0,0.002375589
