playerId,name,status,age,origin_team,origin_comp,origin_median,origin_matches,raw_probability,scouting_score
21589,Pelle Boevink,PLAYS,28.0,SC Paderborn 07 II,regionalliga_west,0.37057419,1,0.883,100.0
103903,Marcel Łubik,PLAYS,21.0,FC Augsburg II,regionalliga_bayern,0.28719256,29,0.8454,99.9
115577,Simon Simoni,BENCH,21.0,Eintracht Frankfurt II,regionalliga_suedwest,0.405667995,13,0.8638,99.7
117221,Marko Milosevic,DROPPED,35.0,Debreceni VSC,nemzeti_bajnoksag,0.53889144,3,0.7426,99.6
106592,Antonín Kinský,PLAYS,22.0,FK Pardubice,chance_liga,0.345279435,17,0.7208,99.4
43239,Jari De Busser,PLAYS,26.0,Lommel SK,challenger_pro_league,0.34851325,30,0.7745,99.3
81122,Nahuel Noll,PLAYS,22.0,TSG 1899 Hoffenheim II,regionalliga_suedwest,0.405667995,25,0.7509,99.1
104934,Erion Avdija,STAYED,21.0,SpVgg Unterhaching,regionalliga_bayern,0.28719256,15,0.6698,99.0
5674,Luca Unbehaun,DROPPED,25.0,SC Verl,bundesliga_3,0.557671055,32,0.7616,98.9
7160,Gerónimo Rulli,PLAYS,33.0,Ajax Amsterdam II,keuken_kampioen_divisie,0.433012,1,0.6385,98.7
47278,Lukas Schneller,DROPPED,24.0,SC Freiburg II,bundesliga_3,0.557671055,2,0.7069,98.6
55897,Yohei Takaoka,STAYED,29.0,Yokohama F. Marinos,j1_league,0.614975735,86,0.6623,98.4
103168,Mohamed Koné,PLAYS,24.0,USL Dunkerque,ligue2,0.61397649,15,0.7026,98.3
13289,Patrik Gunnarsson,PLAYS,25.0,Viking FK,eliteserien,0.5777367099999999,30,0.7034,98.1
171996,Jesper Heim,PLAYS,26.0,SC Weiche Flensburg 08,regionalliga_nord,0.26403716,33,0.5904,98.0
63983,Luca Petzold,PLAYS,24.0,SpVgg Bayreuth,regionalliga_bayern,0.28719256,21,0.6372,97.9
60809,Andrea Hoxha,PLAYS,26.0,Bremer SV,regionalliga_nord,0.26403716,14,0.5377,97.7
8669,Sammy Bossut,STAYED,40.0,SV Zulte Waregem,belgian_pro_league,0.67107149,46,0.6437,97.6
103676,Jhonny Peitzmeier,STAYED,25.0,VfB Oldenburg,regionalliga_nord,0.26403716,69,0.4979,97.4
5878,Anthony Racioppi,PLAYS,27.0,1. FC Köln II,regionalliga_west,0.37057419,1,0.487,97.3
83010,Jan Olschowsky,PLAYS,24.0,Borussia Mönchengladbach II,regionalliga_west,0.37057419,10,0.6109,97.1
9586,Manuel Riemann,DROPPED,37.0,VfL Bochum,bundesliga_1,0.82647051,33,0.4791,97.0
104004,Dennis Seimen,PLAYS,20.0,VfB Stuttgart II,regionalliga_suedwest,0.405667995,19,0.5533,96.9
54806,Michal Kukucka,DROPPED,23.0,AS Trencin,fortuna_liga_slovakia,0.528078685,7,0.7719,96.7
66798,Charly Jan,STAYED,26.0,FC Bourg-Péronnas 01,france_3,0.513178375,44,0.4436,96.6
49611,Diant Ramaj,PLAYS,24.0,Ajax Amsterdam II,keuken_kampioen_divisie,0.433012,4,0.4385,96.4
104207,Tom Ritzy Hülsmann,PLAYS,21.0,FC Bayern München II,regionalliga_bayern,0.28719256,16,0.5762,96.3
