rank,feature_name,consensus_weight,direction,significant,boruta_confirmed,stability_pct
1,SUCCESSFUL_PASSES_BY_FOOT_RIGHT,0.011098148509691185,higher,False,True,66.0
2,SUCCESSFUL_PASSES_BY_FOOT_LEFT,0.00938392315684114,lower,False,True,78.0
3,UNSUCCESSFUL_PASSES_BY_FOOT_LEFT,0.007841982102096464,lower,False,True,64.0
4,BYPASSED_DEFENDERS_AT_PHASE_SECOND_BALL,0.007519153384302834,lower,False,True,54.0
5,UNSUCCESSFUL_PASSES_BY_FOOT_RIGHT,0.006500794591800247,higher,False,True,54.0
6,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_ATTACKING_TRANSITION,0.006339811489738732,higher,False,False,36.0
7,SUCCESSFUL_PASSES_BY_ACTION_DIAGONAL_PASS,0.006121482317986639,higher,True,False,34.0
8,PLAYDURATION,0.005932039642585679,lower,True,True,40.0
9,SUCCESSFUL_PASSES,0.005809181165801927,higher,False,False,36.0
10,BALL_WIN_REMOVED_OPPONENTS_IN_LANE_RIGHT_HALF_SPACE,0.005646820380662313,lower,False,False,52.0
11,SUCCESSFUL_PASSES_AT_PHASE_ATTACKING_TRANSITION,0.0055499099370215224,higher,False,False,26.0
12,DISTANCE_TO_GOAL_COVERED_DRIBBLE,0.005545896796575862,higher,False,False,32.0
13,BYPASSED_OPPONENTS_NUMBER_FROM_PITCH_POSITION_FIRST_THIRD,0.005441310431538779,higher,False,False,40.0
14,OPP_PXT_PASS,0.005426587447344937,lower,False,False,34.0
15,UNSUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,0.005354321562355055,higher,False,False,36.0
16,UNSUCCESSFUL_PASSES_BY_ACTION_GOAL_KICK,0.005188295048128311,lower,False,False,40.0
17,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_GOAL_KICK,0.005151321661740244,lower,False,False,30.0
18,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_CENTER,0.005037893419499871,higher,False,False,28.000000000000004
19,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_IN_POSSESSION,0.004993304123515683,higher,False,False,28.000000000000004
20,SUCCESSFUL_PASSES_FROM_PITCH_POSITION_FIRST_THIRD,0.004972224426524975,higher,False,False,30.0
21,BYPASSED_OPPONENTS_BY_ACTION_LOW_PASS,0.004970120258918982,higher,False,False,34.0
22,SECOND_BALL_WIN,0.004965594400876278,higher,False,False,28.000000000000004
23,SUCCESSFUL_PASSES_TO_LANE_LEFT_HALF_SPACE,0.004929403839697701,higher,False,False,26.0
24,BYPASSED_OPPONENTS_TO_PITCH_POSITION_FIRST_THIRD,0.004899284799372432,higher,False,False,32.0
25,BYPASSED_DEFENDERS_TO_PITCH_POSITION_FIRST_THIRD,0.004897632490952794,lower,False,False,32.0
26,DEFENSIVE_TOUCHES_BY_ACTION_HEADER,0.004836582586543324,higher,False,False,38.0
27,BYPASSED_DEFENDERS_BY_ACTION_SAVE,0.004816310605227292,lower,False,False,38.0
28,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_OWN_BOX,0.004715278057091145,higher,False,False,32.0
29,BALL_LOSS_REMOVED_TEAMMATES_AT_PHASE_SET_PIECE,0.00463317192740545,lower,False,False,26.0
30,BYPASSED_OPPONENTS_NUMBER_AT_PHASE_SET_PIECE,0.004515810406702127,lower,False,False,46.0
31,BYPASSED_OPPONENTS_NUMBER_BY_ACTION_DIAGONAL_PASS,0.004409352902149589,higher,False,False,30.0
32,SUCCESSFUL_PASSES_TO_LANE_RIGHT_HALF_SPACE,0.004353413444105405,higher,False,False,24.0
33,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_IBWR,0.004285508697939563,lower,False,False,18.0
34,BYPASSED_OPPONENTS_RECEIVING_FROM_LANE_RIGHT_WING,0.004267686864767568,lower,False,False,26.0
35,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_RIGHT_HALF_SPACE,0.004232055565900173,higher,False,False,26.0
36,BYPASSED_OPPONENTS_AT_PHASE_ATTACKING_TRANSITION,0.004225307682695961,higher,False,False,14.000000000000002
37,BALL_LOSS_REMOVED_TEAMMATES_TO_OPPONENT_PACKING_ZONE_IB,0.004166198328258654,higher,False,False,28.000000000000004
38,BYPASSED_OPPONENTS_TO_PACKING_ZONE_DM,0.004048553036628001,higher,False,False,26.0
39,UNSUCCESSFUL_PASSES_AT_PHASE_SET_PIECE,0.004032332106083677,lower,False,False,30.0
40,BYPASSED_OPPONENTS_NUMBER_TO_LANE_CENTER,0.004020718903213851,higher,False,False,24.0
41,SUCCESSFUL_PASSES_TO_PACKING_ZONE_DM,0.004007245769596428,higher,False,False,16.0
42,PXT_PASS,0.003996479637634298,higher,False,False,24.0
43,NEUTRAL_PASSES_BY_FOOT_RIGHT,0.003979373205616841,higher,False,False,30.0
44,NEUTRAL_PASSES_BY_FOOT_LEFT,0.0038728984238732868,lower,False,False,34.0
45,BYPASSED_OPPONENTS_NUMBER_TO_LANE_RIGHT_HALF_SPACE,0.003820124200255371,higher,False,False,24.0
46,DEFENSIVE_TOUCHES_IN_LANE_RIGHT_HALF_SPACE,0.003767214846026784,higher,False,False,30.0
47,SUCCESSFUL_PASSES_TO_PITCH_POSITION_MIDDLE_THIRD,0.0037586932030865138,higher,False,False,28.000000000000004
48,BYPASSED_OPPONENTS_NUMBER_FROM_LANE_LEFT_HALF_SPACE,0.0037542301079802917,higher,False,False,20.0
49,BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_SECOND_BALL,0.003747387339348148,higher,False,False,24.0
