rank,kpi,cv,direction,boruta,stability,tier
8,PLAYDURATION,0.03714452751120819,lower,True,40.0,Tier 1 (Reliable)
49,BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_SECOND_BALL,0.16989905704494979,higher,False,24.0,Tier 1 (Reliable)
50,BALL_WIN_NUMBER_BY_ACTION_HEADER,0.18150860852597353,higher,False,42.0,Tier 1 (Reliable)
26,DEFENSIVE_TOUCHES_BY_ACTION_HEADER,0.19035269917566106,higher,False,38.0,Tier 1 (Reliable)
33,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_IBWR,0.19395799350343418,lower,False,18.0,Tier 1 (Reliable)
34,BYPASSED_OPPONENTS_RECEIVING_FROM_LANE_RIGHT_WING,0.22316920182015096,lower,False,26.0,Tier 1 (Reliable)
10,BALL_WIN_REMOVED_OPPONENTS_IN_LANE_RIGHT_HALF_SPAC,0.30505168452585885,lower,False,52.0,Tier 1 (Reliable)
15,UNSUCCESSFUL_PASSES_BY_ACTION_LOW_PASS,0.3231276607475359,higher,False,36.0,Tier 1 (Reliable)
9,SUCCESSFUL_PASSES,0.3354131987238825,higher,False,36.0,Tier 1 (Reliable)
68,SUCCESSFUL_PASSES_FROM_PITCH_POSITION_OWN_BOX,0.35552584897982475,higher,False,20.0,Tier 1 (Reliable)
59,BYPASSED_OPPONENTS_NUMBER,0.3834972421725218,higher,False,14.000000000000002,Tier 1 (Reliable)
4,BYPASSED_DEFENDERS_AT_PHASE_SECOND_BALL,0.38522634414057416,lower,True,54.0,Tier 1 (Reliable)
44,NEUTRAL_PASSES_BY_FOOT_LEFT,0.39216603654304216,lower,False,34.0,Tier 1 (Reliable)
61,BALL_WIN_NUMBER_BY_ACTION_CATCH,0.41063250471997836,higher,False,28.000000000000004,Tier 1 (Reliable)
65,BALL_WIN_NUMBER_FROM_OPPONENT_PACKING_ZONE_WR,0.4142985569242729,higher,False,22.0,Tier 1 (Reliable)
1,SUCCESSFUL_PASSES_BY_FOOT_RIGHT,0.42904431340569266,higher,True,66.0,Tier 1 (Reliable)
