feature,H_statistic,p_value,significant_005,p_value_fdr,significant_fdr
DEFENSIVE_IMPECT_SCORE_PACKING,26.543760103078057,7.3373706933735235e-06,True,0.00019810900872108516,True
GK_PREVENTED_GOALS_TOTAL_SHOT_XG,23.062504401011683,3.918951832878355e-05,True,0.000529058497438578,True
GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,21.967562100411527,6.625276912042951e-05,True,0.0005962749220838656,True
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,20.62007652418422,0.0001262408889144213,True,0.0008521260001723438,True
RATIO_PASSING_ACCURACY,16.955034860260476,0.0007219517220586542,True,0.0030372854812718373,True
PASS_COMPLETION_OVER_EXPECTED,16.851027048233725,0.0007583897411803718,True,0.0030372854812718373,True
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,16.771592543702692,0.0007874443840334393,True,0.0030372854812718373,True
LOW_PASS_SCORE,16.454337215335325,0.000914936070759203,True,0.00308790923881231,True
IMPECT_SCORE_WITHOUT_GOALS_PACKING,13.377216499998667,0.003887966200872806,True,0.01134252301507993,True
IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,13.211456227251347,0.004200934450029604,True,0.01134252301507993,True
IMPECT_SCORE_PACKING,12.969194082422291,0.004703700821186121,True,0.011545447470184116,True
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,10.097878341213047,0.01775219686496908,True,0.03988590651355685,True
TOTAL_TOUCHES,9.926162135732893,0.019204325358379223,True,0.03988590651355685,True
DIAGONAL_PASS_SCORE,8.753446428293321,0.032755073102952746,True,0.06020028297328445,False
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,8.707430569570457,0.033444601651824696,True,0.06020028297328445,False
GK_CAUGHT_HIGH_BALLS_PERCENT,8.097964639555915,0.044029870426131525,True,0.07430040634409696,False
GK_SUCCESSFUL_LAUNCHES_PERCENT,6.870910482489977,0.07612811603912839,False,0.12090936076802744,False
GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,5.213794153176757,0.1567949881137865,False,0.23519248217067976,False
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,4.717295924170133,0.19370779117515421,False,0.2752689664067981,False
GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,3.6467551236352858,0.30222129922219365,False,0.40799875394996143,False
OFFENSIVE_IMPECT_SCORE_PACKING,2.1904514217740143,0.5338315914421106,False,0.6863549032827135,False
PROGRESSION_SCORE_PACKING,2.043562378722072,0.5634145757962994,False,0.6914633430227312,False
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,1.607727239807567,0.6576389918758043,False,0.7720109904629007,False
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,1.3378364262155478,0.720168648163278,False,0.8101897291836878,False
GOAL_KICK_SCORE,0.8032008281966693,0.8487012852762381,False,0.9165973880983371,False
FOOT_USAGE_RATIO_RIGHT,0.28524185826450044,0.962779763844329,False,0.962779763844329,False
FOOT_USAGE_RATIO_LEFT,0.28524185826450044,0.962779763844329,False,0.962779763844329,False
