rank,feature,feature_name,consensus_weight,category,direction,p_value,effect_size,rf_importance,xgb_importance,lr_abs_coef,mutual_info,perm_importance
1,origin_median,origin_median,0.11547126383641013,context,lower,1.1874631815996386e-06,0.5802220322083907,0.08513510792424885,0.06451678,0.4152146749558455,0.04150880467925111,0.024819624819624853
2,mean_FOOT_USAGE_RATIO_LEFT,FOOT_USAGE_RATIO_LEFT,0.08230945832755127,performance,lower,0.7920133534496394,0.21611346893568678,0.08740826994241818,0.048968144,0.1091519523299545,0.059594210134547465,0.01796536796536801
3,n_matches_loaded,n_matches_loaded,0.07999267669115621,context,lower,2.1787123345996916e-05,0.43636057425954966,0.068808499415637,0.04972065,0.32252893602856464,0.014132533250895252,0.01782106782106786
4,mean_FOOT_USAGE_RATIO_RIGHT,FOOT_USAGE_RATIO_RIGHT,0.07329073851651725,performance,higher,0.7920133534496394,0.21611347540242867,0.06996500331650758,0.07311067,0.10915221315490004,0.0399408991085366,0.011183261183261217
5,mean_DEFENSIVE_IMPECT_SCORE_PACKING,DEFENSIVE_IMPECT_SCORE_PACKING,0.06376205995475401,performance,higher,4.446534276603105e-06,0.3892110060062201,0.05567951029088649,0.03922996,0.23318171277215582,0.01976219837433013,0.012554112554112606
6,mean_GK_CAUGHT_HIGH_BALLS_PERCENT,GK_CAUGHT_HIGH_BALLS_PERCENT,0.046863506257211814,performance,higher,0.01882148904047894,0.33741882729080297,0.037856055017448806,0.031614807,0.1684740793154968,0.025868142535226513,0.0054112554112554275
7,mean_RATIO_PASSING_ACCURACY,RATIO_PASSING_ACCURACY,0.04399885433463625,performance,higher,0.0014752796775006154,0.2800601382648591,0.04686887106279624,0.048865218,0.0,0.014181739948267547,0.009090909090909132
8,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.04296377524376053,performance,higher,0.17789740454123537,0.29373938632968194,0.029823796372264736,0.037405077,0.2586786860445016,0.005458421145208225,0.006132756132756173
9,mean_TOTAL_TOUCHES,TOTAL_TOUCHES,0.037853064013670584,performance,higher,0.0026639338725214655,0.3765698578396642,0.031655599278295136,0.031494625,0.1837471563743298,0.0,0.005050505050505083
10,mean_GOAL_KICK_SCORE,GOAL_KICK_SCORE,0.03114746158028041,performance,higher,0.6530505308910581,0.11347731589216398,0.029171453461015715,0.037104487,0.0,0.030487181289301946,0.005411255411255439
11,age,age,0.031111164785677742,context,lower,0.028509996557837078,0.2910158920571366,0.03043282410086403,0.03281867,0.08935268357356241,0.0023394711674997737,0.005339105339105382
12,mean_DIAGONAL_PASS_SCORE,DIAGONAL_PASS_SCORE,0.03076203843855269,performance,higher,0.02692068138464729,0.26217937639818245,0.025683980612327743,0.031691015,0.0234984437428019,0.018738460213716834,0.005411255411255439
13,mean_IMPECT_SCORE_WITHOUT_GOALS_PACKING,IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.03051200647650429,performance,higher,0.0018703762388047715,0.3830276936612014,0.023816131160350737,0.041751612,0.0,0.0068544536817505275,0.002525252525252575
14,mean_LOW_PASS_SCORE,LOW_PASS_SCORE,0.026262986859332177,performance,higher,0.025710339265527345,0.2263202673500158,0.02819674534599868,0.023957342,0.0,0.021778360113200224,0.004184704184704219
15,mean_OFFENSIVE_IMPECT_SCORE_PACKING,OFFENSIVE_IMPECT_SCORE_PACKING,0.02607125515320498,performance,higher,0.5692936801604231,0.17509788325708506,0.022910885666948776,0.040673174,0.0,0.016928775283979736,0.0029581529581530095
16,mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,GK_SUCCESSFUL_LAUNCHES_PERCENT,0.025723027217324817,performance,higher,0.010640566818189342,0.24414884017539,0.028128301089196204,0.035368927,0.024769398516321147,0.0,0.005555555555555586
17,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.02371405863974845,performance,higher,0.8590281808897147,0.17814656522703817,0.025805942389998313,0.033853877,0.0,0.0049856752938362,0.006926406926406964
18,mean_IMPECT_SCORE_PACKING,IMPECT_SCORE_PACKING,0.02330406755273805,performance,higher,0.002110042377862049,0.3804910889527259,0.02234779023320732,0.022019813,0.0,0.006664774670596563,0.003030303030303072
19,mean_PASS_COMPLETION_OVER_EXPECTED,PASS_COMPLETION_OVER_EXPECTED,0.022335661220888474,performance,higher,0.0019049034672748261,0.2860618770584392,0.023241201122501116,0.025052812,0.03605584319157282,0.008121252993076977,0.001659451659451694
20,mean_IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.02190832122547485,performance,higher,0.0019652262572864725,0.381995383914943,0.02504462747681832,0.019618984,0.0,0.0049733170013583905,0.002092352092352134
21,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.020568705500053016,performance,higher,0.6345053740369856,0.04159524038552412,0.023508656471169464,0.025738584,0.09679475130735146,0.005126375662339422,0.007575757575757602
22,mean_GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,0.018261677122477688,performance,higher,0.08008375203185614,0.19712592271432597,0.025502804164032417,0.030716585,0.0,0.0,0.0031024531024531456
23,mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,0.014584837565580823,performance,lower,0.3651695090743181,0.11172390996829859,0.018397214275331385,0.01886717,0.12299137497165716,0.0,0.0025974025974026373
24,mean_GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,0.012858650595628868,performance,higher,0.055496417001972005,0.20071887082584083,0.02205721685437594,0.014487816,0.0,0.0051275148207168275,0.002453102453102496
25,mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,0.012211616296080235,performance,higher,0.901820421973646,0.014580565298088516,0.015374548367208345,0.0224423,0.08768496332548709,0.014107386848472014,-0.00021645021645017582
26,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,0.011202588135980967,performance,higher,0.7900472080618313,0.01520553043590243,0.022153517924709813,0.026100038,0.0,0.0,0.005844155844155869
27,mean_PROGRESSION_SCORE_PACKING,PROGRESSION_SCORE_PACKING,0.010464060547002227,performance,higher,0.48780156780499107,0.16792929018297373,0.01771123329634287,0.019758275,0.0,0.0,0.002453102453102496
28,mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,0.00937127959106588,performance,higher,0.8857401979312078,0.022903659412170815,0.02141194180685945,0.03192532,0.0,0.0,0.0010822510822511068
29,mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG,GK_PREVENTED_GOALS_TOTAL_SHOT_XG,0.005600470257816412,performance,lower,0.4331438014161544,0.055665525292808125,0.01732970907865845,0.019921416,0.0,1.5166537162381033e-05,0.001659451659451694
30,mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,0.005518668062919026,performance,lower,0.5499309673050166,0.0477456734539828,0.018572562481581876,0.021205924,0.0,0.0,0.0009379509379509599
