SHOT_XG_AT_PHASE_SECOND_BALL,name,BALL_WIN_REMOVED_OPPONENTS_DEFENDERS_AT_PHASE_SECOND_BALL,BALL_WIN_REMOVED_OPPONENTS_FROM_OPPONENT_PACKING_ZONE_FBR,current_team,DEF_PXT_PASS,REVERSE_PLAY_ADDED_OPPONENTS_FROM_PITCH_POSITION_MIDDLE_THIRD,BALL_WIN_REMOVED_OPPONENTS_IN_PITCH_POSITION_FINAL_THIRD,BYPASSED_DEFENDERS_RECEIVING_FROM_LANE_CENTER,BALL_LOSS_ADDED_OPPONENTS_DEFENDERS_FROM_PITCH_POSITION_MIDDLE_THIRD,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_OPPONENT_BOX,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_HIGH_CROSS,SHOT_XG_AT_PHASE_IN_POSSESSION,step,BYPASSED_DEFENDERS_RECEIVING_TO_PITCH_POSITION_MIDDLE_THIRD,POSTSHOT_XG,REVERSE_PLAY_ADDED_OPPONENTS_DEFENDERS_FROM_PITCH_POSITION_OPPONENT_BOX,REVERSE_PLAY_NUMBER_FROM_PITCH_POSITION_FINAL_THIRD,REVERSE_PLAY_ADDED_OPPONENTS_DEFENDERS_AT_PHASE_SET_PIECE,current_season,BALL_WIN_REMOVED_OPPONENTS_DEFENDERS,current_median,origin_team,BALL_WIN_REMOVED_OPPONENTS_IN_LANE_RIGHT_WING,BALL_WIN_REMOVED_OPPONENTS_DEFENDERS_IN_LANE_CENTER,BYPASSED_DEFENDERS_RECEIVING_BY_ACTION_HOLD_UP_PLAY,direction,BALL_WIN_REMOVED_OPPONENTS_DEFENDERS_FROM_PITCH_POSITION_OWN_BOX,BALL_LOSS_ADDED_OPPONENTS_DEFENDERS_FROM_PITCH_POSITION_FINAL_THIRD,BYPASSED_DEFENDERS_RECEIVING_BY_ACTION_HEADER,BALL_WIN_REMOVED_OPPONENTS_IN_PITCH_POSITION_OPPONENT_BOX,BYPASSED_OPPONENTS_RECEIVING_TO_LANE_LEFT_WING,WON_GROUND_DUELS_AT_PHASE_OUT_OF_POSSESSION,BYPASSED_DEFENDERS_RECEIVING_FROM_PACKING_ZONE_CB,PRE_ASSISTS,BYPASSED_OPPONENTS_RECEIVING_FROM_PACKING_ZONE_CM,status,BYPASSED_OPPONENTS_RECEIVING_BY_ACTION_AVAILABILITY_IN_THE_BOX,BALL_LOSS_REMOVED_TEAMMATES_BY_ACTION_THROW_IN,BYPASSED_DEFENDERS_RECEIVING_AT_PHASE_SET_PIECE,UNSUCCESSFUL_PASSES_FROM_PITCH_POSITION_OPPONENT_BOX,origin_comp,SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT,BALL_LOSS_ADDED_OPPONENTS_DEFENDERS_FROM_PITCH_POSITION_OPPONENT_BOX,BYPASSED_DEFENDERS_RECEIVING_TO_PITCH_POSITION_OPPONENT_BOX,BYPASSED_DEFENDERS_RECEIVING_FROM_PITCH_POSITION_OPPONENT_BOX,SHOT_AT_GOAL_NUMBER_CAUGHT,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_OPPONENT_PACKING_ZONE_WL,BYPASSED_OPPONENTS_RECEIVING_BY_ACTION_HOLD_UP_PLAY,BALL_LOSS_ADDED_OPPONENTS_AT_PHASE_SECOND_BALL,BYPASSED_DEFENDERS_RECEIVING_AT_PHASE_IN_POSSESSION,SHOT_XG_BY_ACTION_FREE_KICK,BYPASSED_OPPONENTS_RECEIVING_FROM_PITCH_POSITION_FINAL_THIRD,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_IN_PITCH_POSITION_OPPONENT_BOX,UNSUCCESSFUL_PASSES_FROM_PITCH_POSITION_FINAL_THIRD,BYPASSED_DEFENDERS_RECEIVING_FROM_PITCH_POSITION_FIRST_THIRD,BYPASSED_DEFENDERS_RECEIVING_AT_PHASE_SECOND_BALL,birthdate,BYPASSED_DEFENDERS_BY_ACTION_THROW_IN,BALL_WIN_REMOVED_OPPONENTS_DEFENDERS_BY_ACTION_HEADER,BYPASSED_OPPONENTS_RECEIVING_TO_PITCH_POSITION_MIDDLE_THIRD,BYPASSED_DEFENDERS_FROM_PITCH_POSITION_FINAL_THIRD,BYPASSED_DEFENDERS_BY_ACTION_SHORT_AERIAL_PASS,age,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_BY_ACTION_HEADER,BALL_WIN_REMOVED_OPPONENTS_DEFENDERS_BY_ACTION_CATCH,UNSUCCESSFUL_PASSES_BY_ACTION_HIGH_CROSS,BYPASSED_DEFENDERS_RECEIVING_FROM_LANE_RIGHT_HALF_SPACE,origin_median,LOST_GROUND_DUELS_IN_PACKING_ZONE_CM,BALL_LOSS_ADDED_OPPONENTS_DEFENDERS_AT_PHASE_SET_PIECE,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_OPPONENT_PACKING_ZONE_FBR,BYPASSED_OPPONENTS_RECEIVING_NUMBER_TO_LANE_LEFT_HALF_SPACE,BYPASSED_DEFENDERS_RECEIVING_FROM_PITCH_POSITION_FINAL_THIRD,BALL_LOSS_ADDED_OPPONENTS_DEFENDERS_BY_ACTION_HEADER,BYPASSED_DEFENDERS_BY_ACTION_HEADER,PXT_SHOT_AT_PXT_PHASE_ATTACK,NEUTRAL_PASSES_BY_ACTION_THROW_IN,OFFENSIVE_TOUCHES_IN_PITCH_POSITION_OPPONENT_BOX,BALL_WIN_REMOVED_OPPONENTS_BY_ACTION_LOOSE_BALL_REGAIN,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_FROM_OPPONENT_PACKING_ZONE_CB,BALL_WIN_REMOVED_OPPONENTS_BY_ACTION_DUEL,WON_GROUND_DUELS_IN_PITCH_POSITION_FINAL_THIRD,BYPASSED_OPPONENTS_RECEIVING_BY_ACTION_LOOSE_BALL_REGAIN,BALL_LOSS_ADDED_OPPONENTS_FROM_PITCH_POSITION_FINAL_THIRD,current_comp,BYPASSED_OPPONENTS_RECEIVING_FROM_PACKING_ZONE_FBL,BYPASSED_DEFENDERS_FROM_PITCH_POSITION_OPPONENT_BOX,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_FINAL_THIRD,BYPASSED_DEFENDERS_RECEIVING_TO_LANE_CENTER,BALL_LOSS_REMOVED_TEAMMATES_FROM_PITCH_POSITION_OPPONENT_BOX,BALL_WIN_REMOVED_OPPONENTS_DEFENDERS_AT_PHASE_SET_PIECE,REVERSE_PLAY_ADDED_OPPONENTS_DEFENDERS,playerId,BYPASSED_OPPONENTS_FROM_PITCH_POSITION_FINAL_THIRD,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_TO_PITCH_POSITION_OPPONENT_BOX,BALL_WIN_ADDED_TEAMMATES_IN_PITCH_POSITION_FINAL_THIRD,origin_matches,OPP_PXT_SHOT,BALL_WIN_REMOVED_OPPONENTS_IN_PITCH_POSITION_MIDDLE_THIRD,PXT_DRIBBLE_FAIL,BYPASSED_DEFENDERS_RECEIVING,SHOT_AT_GOAL_NUMBER_ON_TARGET,BALL_WIN_ADDED_TEAMMATES_IN_PITCH_POSITION_OPPONENT_BOX,BALL_WIN_REMOVED_OPPONENTS_DEFENDERS_FROM_PITCH_POSITION_FIRST_THIRD,BALL_WIN_ADDED_TEAMMATES_DEFENDERS_IN_PITCH_POSITION_FINAL_THIRD,current_matches,SHOT_XG_IN_PITCH_POSITION_FINAL_THIRD,SHOT_XG_BY_ACTION_MID_RANGE_SHOT,BYPASSED_OPPONENTS_BY_ACTION_THROW_IN,BALL_LOSS_ADDED_OPPONENTS_DEFENDERS_FROM_PITCH_POSITION_FIRST_THIRD,SHOT_XG_IN_LANE_RIGHT_HALF_SPACE,BYPASSED_OPPONENTS_RECEIVING_AT_PHASE_IN_POSSESSION,BYPASSED_OPPONENTS_RECEIVING_NUMBER_BY_ACTION_HEADER,BALL_LOSS_ADDED_OPPONENTS_BY_ACTION_SHORT_AERIAL_PASS,BALL_LOSS_REMOVED_TEAMMATES_DEFENDERS_FROM_PITCH_POSITION_OPPONENT_BOX,BYPASSED_DEFENDERS_RECEIVING_FROM_LANE_RIGHT_WING,origin_season
,Anthony Lopes,,,,,,,,,,,,0.0,,,,,,,,,Olympique Lyon,,,,NONE,,,,,,,,,,STAYED,,,,,ligue1,,,,,,,,,,,,,,,,1990-10-01,,,,,,35.0,,,,,0.7712210150000001,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,71,,,,,,,,,,,,,,,,,,,,2023-2024
,Anthony Lopes,,,,,,,,,,,,0.0,,,,,,,,,Olympique Lyon,,,,NONE,,,,,,,,,,STAYED,,,,,ligue1,,,,,,,,,,,,,,,,1990-10-01,,,,,,35.0,,,,,0.7712210150000001,,,,,,,,,,,,,,,,,,1.0,,,,,,,82,,,,71,,,,,,,,,,,,,,,,,,,,2023-2024
,Anthony Lopes,,,,,,,,,,,,0.0,,,,,,,,,Olympique Lyon,,,,NONE,,,,,,,,,,STAYED,,,,,ligue1,,,,,,,,,,,,,,,,1990-10-01,,,,,,35.0,0.2,,,,0.7712210150000001,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,71,,,,,,,,,,,,,,,,,,,,2023-2024
,Anthony Lopes,,,,,,,,,,,,0.0,,,,,,,,,Olympique Lyon,,,,NONE,,,,,,1.0,,,,STAYED,,,,,ligue1,,,,,,,,,,,,,,,,1990-10-01,,,,,,35.0,,,,,0.7712210150000001,,,,,,,,,,,,,3.0,,,,,,,,,,,,82,,,,71,,,,,,,,,,,,,,,,,,,,2023-2024
,Anthony Lopes,,,,,,,,,,,,0.0,,,,,,,1.0,,Olympique Lyon,,1.0,,NONE,,,,,,,,,,STAYED,,,,,ligue1,,,,,,,,,,,,,,,,1990-10-01,,,,,,35.0,,1.0,,,0.7712210150000001,,,,,,,,,,,,,,,,,,,,,,,1.0,,82,,,,71,,,,,,,1.0,,,,,,,,,,,,,2023-2024
,Anthony Lopes,,,,,,,,,,,,0.0,,,,,,,,,Olympique Lyon,,,,NONE,,,,,,,,,,STAYED,,,,,ligue1,,,,,,,,,,,,,,,,1990-10-01,,,,,,35.0,,,,,0.7712210150000001,,,,,,,,,,,,,,,,,,,,,,,,1.0,82,,,,71,,,,,,,,,,,,,,,,,,,,2023-2024
,Anthony Lopes,,,,,,,,,,,,0.0,,,,,,,,,Olympique Lyon,,,,NONE,,,,,,,,,,STAYED,,,,,ligue1,,,,,,,,,,,3.5,,,,,1990-10-01,,,,,,35.0,,,,,0.7712210150000001,,,,,,,,,,1.0,,,,,,,,,,,,,,,82,,,,71,,,,,,,,,,,,,,,,1.0,,,,2023-2024
,Péter Gulácsi,,,,,,,,,,,,0.0,,,,,,,,,RasenBallsport Leipzig,,,,NONE,,,,,,,,,,STAYED,,,,,bundesliga_1,,,,,,,,,,,,,,,,1990-05-06,,,,,,35.0,,,,,0.82647051,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,63,,,,,,,,,,,,,,,,,,,,2024-2025
,Péter Gulácsi,,,,,,,,,,,,0.0,,,,,,,,,RasenBallsport Leipzig,,,,NONE,,,,,,,,,,STAYED,,,,,bundesliga_1,,,,,,,,,,,,,,,,1990-05-06,,,,,,35.0,,,,,0.82647051,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,63,,,,,,,,,,,,,,,1.0,,,,,2024-2025
,Péter Gulácsi,,2.0,,,,,,,,,,0.0,,,,,,,,,RasenBallsport Leipzig,,,,NONE,,,,,,,,,,STAYED,,,,,bundesliga_1,,,,,,,,0.3,,,,,,,,1990-05-06,,,,,,35.0,,,,,0.82647051,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,63,,,,,,,,,,,,,,,,,,,,2024-2025
,Péter Gulácsi,,,,-0.033111,,,,,,,,0.0,,,,,,,,,RasenBallsport Leipzig,,,,NONE,,,,,,,,,,STAYED,,,,,bundesliga_1,,,,,,,,0.01,,,,,,,,1990-05-06,,,,,,35.0,,,,,0.82647051,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,63,,,,,,,,,,,,,,,,,,,,2024-2025
,Péter Gulácsi,,,,,,,,,,,,0.0,,,,,,,,,RasenBallsport Leipzig,,,,NONE,,,,,,,,,,STAYED,,,,,bundesliga_1,,,,,,,,,,,,,,,,1990-05-06,,,,,,35.0,,,,,0.82647051,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,63,,,,,,,,,,,,,,,2.0,,,,,2024-2025
,Vasilios Barkas,,,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,,,STAYED,,,,,eredivisie,,,,,,,,,,,,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,116,,,,,,,,,,,,,,,,,,,,2022-2023
,Vasilios Barkas,,,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,,,STAYED,,,,,eredivisie,,,,,,,,,,,,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,,,,,,,,,1.0,,,,,,,210,,,,116,,,,,,,,,,,,,,,1.0,,,,,2022-2023
,Vasilios Barkas,,,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,,,STAYED,,,,,eredivisie,,,,,,,,,,,,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,116,,,,,,,,,,,,,,,1.0,,,,,2022-2023
,Vasilios Barkas,,1.0,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,,,STAYED,,,,,eredivisie,,,,,,,,,,,,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,116,,,,,,,,,,,,,,,,,,,,2022-2023
,Vasilios Barkas,,,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,,,STAYED,,,,,eredivisie,,,,,,,,,,,,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,,,5.0,,,,,,,,,,,,,210,,,,116,,,,,,,,,,,,,,,,,,,,2022-2023
,Vasilios Barkas,,,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,,,STAYED,,,,,eredivisie,,,,,,,,,,,,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,116,,,,,,,,,,,,1.0,,,,,,,,2022-2023
,Vasilios Barkas,,,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,,,STAYED,,,,,eredivisie,,,,,,0.5,,,,,,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,116,,,,,,,,,,,,,,,,,,,,2022-2023
,Vasilios Barkas,,,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,1.0,,STAYED,,,,,eredivisie,,,,,,,,,,,,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,116,,,,,,,,,,,,,,,,,,,,2022-2023
,Vasilios Barkas,,,,,,,,,,,,0.0,,,,,,,,,FC Utrecht,,,,NONE,,,,,,,,,,STAYED,,,,,eredivisie,,,,,,,1.6,,,,1.6,,,,,1994-05-30,,,,,,31.0,,,,,0.6917069149999999,,,,,,,,,,1.0,,,,,,,,,,,,,,,210,,,,116,,,,,,,,,,,,,,,,,0.64,,,2022-2023
,Tomas Koubek,,,FC Slovan Liberec,,,,,,,,,-0.481191075,,,,,,2025-2026,,0.345279435,FC Augsburg,,,,DOWN,,,,,,,,,,DROPPED,,,,,bundesliga_1,,,,,,,,,,,,,,,,1992-08-26,,,,,,33.0,,,,,0.82647051,,,,,,,,,,,,,,,,,chance_liga,,,,,,,,226,,,,3,,,,,,,,,19.0,,,,,,,,,,,2023-2024
,Tomas Koubek,,,FC Slovan Liberec,,,,,,,,,-0.481191075,,,,,,2025-2026,,0.345279435,FC Augsburg,,,,DOWN,,,,,,,,,,DROPPED,,,,,bundesliga_1,,,,,,,,,,,,,,,,1992-08-26,,,,,,33.0,,,,,0.82647051,,,,,,,,,,,,,,,,,chance_liga,,,,,,,,226,,,,3,,,-0.000444,,,,,,19.0,,,,,,,,,,,2023-2024
,David de Gea,,,,,,,,,,,,0.0,,,,,,,,,AC Florenz,,,,NONE,,,,,,,,,,STAYED,,,,,serie_a,,,,,,,,,,,,,,,,1990-11-07,,,,,,35.0,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,61,,,,,,,,,,,,,,,,,,,,2024-2025
,David de Gea,,,,,,,,,,,,0.0,,,,,,,,,AC Florenz,,,,NONE,,,,,,,,,,STAYED,,,,,serie_a,,,,,,0.4,,,,,,,,,,1990-11-07,,,,,,35.0,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,61,,,,,,,,,,,,,,,,,,,,2024-2025
,David de Gea,,,,,,,,,,,,0.0,,,,,,,,,AC Florenz,,,,NONE,,,,,,1.0,,,,STAYED,,,,,serie_a,,,,,,,,,,,,,,,,1990-11-07,,,,,,35.0,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,61,,,,,,,,,,,,,,,,,,,,2024-2025
,David de Gea,,,,,,,,,,,,0.0,,,,,,,,,AC Florenz,,,,NONE,,,,,,,,1.0,,STAYED,,,,,serie_a,,,,,,,,,,,,,,,,1990-11-07,,,,,,35.0,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,61,,,,,,,,,,,,,,,,,,,,2024-2025
,David de Gea,,,,,,,,,,,,0.0,,,,,,,,,AC Florenz,,,,NONE,,,,,,,,,,STAYED,,,,,serie_a,,,,,,,,,,,,,,,,1990-11-07,,,,,,35.0,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,61,,,,,,,,,,,,,,,2.0,,,,,2024-2025
,David de Gea,,,,,,,,,,,,0.0,,,,,,,,,AC Florenz,,,,NONE,,,,,,,,,,STAYED,,,,,serie_a,,,,,,,,,,,,,,,,1990-11-07,,,,,,35.0,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,61,,,,,,,,,,,,,,,1.0,,,,,2024-2025
,Jonas Lössl,,,,,,,,,,,,0.0,,,,,,,,,FC Midtjylland,,,,NONE,,,,,,,,,,STAYED,,,,,superligaen,,,,,,,,,,,,,,,,1989-02-01,,,,,,37.0,,,,,0.6607162449999999,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,72,,,,,,,,,,,,,,,,,,,,2023-2024
