feature,methods_in_top10
origin_median,4
n_matches_loaded,4
mean_FOOT_USAGE_RATIO_RIGHT,3
mean_RATIO_PASSING_ACCURACY,3
mean_DEFENSIVE_IMPECT_SCORE_PACKING,3
age,3
mean_FOOT_USAGE_RATIO_LEFT,3
mean_GK_CAUGHT_HIGH_BALLS_PERCENT,2
mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,2
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,2
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,2
mean_GOAL_KICK_SCORE,2
mean_IMPECT_SCORE_WITHOUT_GOALS_PACKING,1
mean_PASS_COMPLETION_OVER_EXPECTED,1
mean_OFFENSIVE_IMPECT_SCORE_PACKING,1
mean_GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,1
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,1
mean_TOTAL_TOUCHES,1
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,1
