feature,importance,category,direction,p_value,effect_size,reliability_cv,feature_name,weight_all,weight
origin_median,0.0248917748917749,context,lower is better,,,,origin_median,0.15299334811529902,0.0
n_matches_loaded,0.019480519480519504,context,lower is better,,,,n_matches_loaded,0.11973392461197327,0.0
mean_FOOT_USAGE_RATIO_LEFT,0.0137806637806638,performance,lower is better,0.7920133534496394,0.21611346893568678,0.3741681668143891,FOOT_USAGE_RATIO_LEFT,0.08470066518847,0.12204472843450466
mean_DEFENSIVE_IMPECT_SCORE_PACKING,0.0124819624819625,performance,higher is better,4.446534276603105e-06,0.38921100600621916,0.623945285852867,DEFENSIVE_IMPECT_SCORE_PACKING,0.07671840354767179,0.11054313099041523
mean_FOOT_USAGE_RATIO_RIGHT,0.01204906204906207,performance,higher is better,0.7920133534496394,0.21611347540242867,0.10819555710236978,FOOT_USAGE_RATIO_RIGHT,0.07405764966740573,0.10670926517571877
mean_RATIO_PASSING_ACCURACY,0.010461760461760472,performance,higher is better,0.0014752796775006154,0.2800601382648591,0.1716057365411365,RATIO_PASSING_ACCURACY,0.06430155210643007,0.09265175718849827
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.00757575757575758,performance,higher is better,0.6345053740369856,0.04159524038552406,13.431908486009203,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.04656319290465624,0.06709265175718837
mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,0.00569985569985571,performance,higher is better,0.010640566818189342,0.24414884017539,0.5778278049476181,GK_SUCCESSFUL_LAUNCHES_PERCENT,0.03503325942350331,0.05047923322683703
mean_GOAL_KICK_SCORE,0.005483405483405479,performance,higher is better,0.6530505308910581,0.11347731589216398,0.4175378481955158,GOAL_KICK_SCORE,0.03370288248337019,0.04856230031948866
age,0.0054112554112554275,context,lower is better,,,,age,0.03325942350332597,0.0
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.005339105339105338,performance,higher is better,0.17789740454123537,0.29373938632968194,88.34898745903486,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.03281596452328151,0.0472843450479232
mean_DIAGONAL_PASS_SCORE,0.005050505050505055,performance,higher is better,0.02692068138464729,0.26217937639818273,1.7523979349221752,DIAGONAL_PASS_SCORE,0.031042128603104173,0.04472843450479227
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.004545454545454558,performance,higher is better,0.8590281808897147,0.178146565227038,13.967969979376491,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.027937915742793806,0.04025559105431312
mean_TOTAL_TOUCHES,0.004473304473304474,performance,higher is better,0.0026639338725214655,0.37656985783966307,0.2632393192397983,TOTAL_TOUCHES,0.027494456762749385,0.03961661341853026
