feature,coefficient,abs_coefficient
origin_median,-0.475349775114611,0.475349775114611
mean_GK_CAUGHT_HIGH_BALLS_PERCENT,0.4710928013238202,0.4710928013238202
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.3744655839006505,0.3744655839006505
n_matches_loaded,-0.34836440161370674,0.34836440161370674
mean_GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,-0.30720466913397054,0.30720466913397054
mean_TOTAL_TOUCHES,0.26769375423692915,0.26769375423692915
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,-0.23517760261721987,0.23517760261721987
age,-0.20163367048692749,0.20163367048692749
mean_PASS_COMPLETION_OVER_EXPECTED,0.19198922923128897,0.19198922923128897
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.18926099902436974,0.18926099902436974
mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,-0.17293386899197644,0.17293386899197644
mean_DEFENSIVE_IMPECT_SCORE_PACKING,0.1568597064545216,0.1568597064545216
mean_FOOT_USAGE_RATIO_RIGHT,0.15536797027200255,0.15536797027200255
mean_FOOT_USAGE_RATIO_LEFT,-0.1553679055882725,0.1553679055882725
mean_PROGRESSION_SCORE_PACKING,-0.11751061502932739,0.11751061502932739
mean_OFFENSIVE_IMPECT_SCORE_PACKING,-0.10577092922023122,0.10577092922023122
mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG,0.09636390284524095,0.09636390284524095
mean_IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.09061462620772417,0.09061462620772417
mean_GOAL_KICK_SCORE,-0.0866625482894273,0.0866625482894273
mean_IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.07638855120235322,0.07638855120235322
mean_LOW_PASS_SCORE,-0.06309016210088335,0.06309016210088335
mean_GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,0.05776251440077831,0.05776251440077831
mean_DIAGONAL_PASS_SCORE,0.057484096886025626,0.057484096886025626
mean_RATIO_PASSING_ACCURACY,-0.05743024485730782,0.05743024485730782
mean_IMPECT_SCORE_PACKING,0.056227492077585255,0.056227492077585255
mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,0.03144382635237825,0.03144382635237825
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,0.029347128914268203,0.029347128914268203
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,-0.024960513236648312,0.024960513236648312
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.007391188294145986,0.007391188294145986
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,-0.004069404424762975,0.004069404424762975
