feature,importance_mean,importance_std
origin_median,0.0248917748917749,0.003922071551205453
n_matches_loaded,0.019480519480519504,0.0057629799560507625
mean_FOOT_USAGE_RATIO_LEFT,0.0137806637806638,0.004267846008995747
mean_DEFENSIVE_IMPECT_SCORE_PACKING,0.0124819624819625,0.004726242780710631
mean_FOOT_USAGE_RATIO_RIGHT,0.01204906204906207,0.0038253149038417057
mean_RATIO_PASSING_ACCURACY,0.010461760461760472,0.0044680647057405605
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.00757575757575758,0.0024941393964565224
mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,0.00569985569985571,0.002210902373166614
mean_GOAL_KICK_SCORE,0.005483405483405479,0.0017435852775749884
age,0.0054112554112554275,0.0034413391104507374
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.005339105339105338,0.0019413598913526323
mean_DIAGONAL_PASS_SCORE,0.005050505050505055,0.0022120793242071998
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.004545454545454558,0.0019507223426545011
mean_TOTAL_TOUCHES,0.004473304473304474,0.0018759018759018677
mean_OFFENSIVE_IMPECT_SCORE_PACKING,0.004112554112554118,0.0025519104161367103
mean_GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,0.003607503607503615,0.0017376038353235479
mean_GK_CAUGHT_HIGH_BALLS_PERCENT,0.002886002886002903,0.002091107755582882
mean_IMPECT_SCORE_PACKING,0.0024531024531024626,0.0030303030303030307
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,0.0023809523809524224,0.0006882678220901603
mean_IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.0023088023088022993,0.0025159589861706573
mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,0.0018037518037518241,0.0011964735895942976
mean_LOW_PASS_SCORE,0.0016594516594516772,0.002003382882671691
mean_IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.0014430014430014625,0.002414603251180589
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,0.001226551226551248,0.0006882678220901605
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,0.0011544011544011635,0.0018023082246460143
mean_GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,0.000865800865800892,0.001670394935467569
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,7.215007215007341e-05,0.0009653021760649269
mean_PROGRESSION_SCORE_PACKING,-7.215007215007341e-05,0.0010677235632719337
mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG,-0.00021645021645021466,0.0015322338081959262
mean_PASS_COMPLETION_OVER_EXPECTED,-0.0012987012987012824,0.0017012736107577947
