feature,importance
mean_FOOT_USAGE_RATIO_RIGHT,0.06564855
origin_median,0.06458109
n_matches_loaded,0.05104968
mean_RATIO_PASSING_ACCURACY,0.047879253
mean_IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.046519525
mean_DEFENSIVE_IMPECT_SCORE_PACKING,0.044422515
mean_FOOT_USAGE_RATIO_LEFT,0.042379476
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,0.038763534
mean_OFFENSIVE_IMPECT_SCORE_PACKING,0.037696656
mean_GOAL_KICK_SCORE,0.035900485
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.0344615
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.03400574
mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,0.032039724
mean_GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,0.031342927
mean_GK_CAUGHT_HIGH_BALLS_PERCENT,0.03098075
mean_TOTAL_TOUCHES,0.030394418
age,0.030379262
mean_DIAGONAL_PASS_SCORE,0.029658174
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.026379293
mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG,0.025610797
mean_LOW_PASS_SCORE,0.0252724
mean_IMPECT_SCORE_PACKING,0.024771586
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,0.024147162
mean_PASS_COMPLETION_OVER_EXPECTED,0.023802027
mean_IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.023050904
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,0.022956623
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,0.0207407
mean_PROGRESSION_SCORE_PACKING,0.02044941
mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,0.018195895
mean_GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,0.016519953
